mmsi,imo,collectionType,timestamp,latitude,longitude,name,shipType
373657000,9603374.0,TERRESTRIAL,2023-02-12T14:02:08.141Z,-23.80141167,151.46184167,,
431006474,9765299.0,TERRESTRIAL,2023-02-12T14:02:04.000Z,34.33451667,132.50456667,,
440021320,9765196.0,DYNAMIC,2023-02-12T13:55:26.000Z,36.9965,126.79506667,,
271002205,,TERRESTRIAL,2023-02-12T14:02:13.000Z,40.81256667,29.29609,,
677013200,8230388.0,DYNAMIC,2023-02-12T13:53:53.000Z,44.58560667,36.53701333,,
235098383,9629043.0,DYNAMIC,2023-02-12T14:01:10.000Z,22.57550667,114.28119667,,
249883000,9403190.0,TERRESTRIAL,2023-02-12T14:02:18.220Z,36.962445,-76.42367833,,
440213000,9288007.0,DYNAMIC,2023-02-12T14:01:38.000Z,35.495795,139.96006333,,
219039000,9780471.0,TERRESTRIAL,2023-02-12T14:02:24.762Z,51.95485,4.00271667,,
900145923,,DYNAMIC,2023-02-12T13:53:54.000Z,31.00738333,122.88163,,
265511830,8667579.0,TERRESTRIAL,2023-02-12T14:02:22.458Z,57.70020833,11.91928667,,
244150332,,TERRESTRIAL,2023-02-12T14:02:16.955Z,52.20531,4.40444833,,
403503001,9616503.0,TERRESTRIAL,2023-02-12T14:01:55.482Z,26.504,50.20766667,,
367015620,0.0,TERRESTRIAL,2023-02-12T14:02:30.659Z,32.727245,-117.20689167,,
218393000,9376206.0,TERRESTRIAL,2023-02-12T14:01:59.359Z,53.55325833,8.560995,,
413392310,0.0,DYNAMIC,2023-02-12T13:59:47.000Z,31.45254,122.82542667,,
413835097,0.0,TERRESTRIAL,2023-02-12T14:01:54.000Z,29.58896,106.63526,,
477769400,9140530.0,TERRESTRIAL,2023-02-12T14:02:10.259Z,25.15416667,121.74966667,,
368069540,0.0,TERRESTRIAL,2023-02-12T14:02:15.947Z,48.51466667,-122.60873333,,
226007310,0.0,TERRESTRIAL,2023-02-12T14:01:12.000Z,48.99089,2.089965,,
412549359,0.0,TERRESTRIAL,2023-02-12T14:01:51.000Z,28.36452833,121.63196333,,
412549527,9961178.0,TERRESTRIAL,2023-02-12T14:00:00.000Z,-34.96962333,-56.22377333,,
244800368,0.0,TERRESTRIAL,2023-02-12T14:02:11.182Z,51.95808167,4.96680833,,
210663000,9625918.0,DYNAMIC,2023-02-12T13:51:01.000Z,-13.30524667,152.51368833,,
413835098,0.0,TERRESTRIAL,2023-02-12T14:00:52.000Z,29.59732667,106.79393333,,
269112410,,TERRESTRIAL,2023-02-12T14:02:00.221Z,39.55687,2.62702667,,
205306390,0.0,TERRESTRIAL,2023-02-12T14:02:17.525Z,51.24003833,4.41805833,,
413838662,0.0,TERRESTRIAL,2023-02-12T14:00:07.000Z,29.71435667,107.277315,,
538003015,9511832.0,TERRESTRIAL,2023-02-12T14:01:59.856Z,27.63496667,-82.56168333,,
412350412,,TERRESTRIAL,2023-02-12T14:02:15.000Z,32.09422,121.59161,,
413261540,0.0,DYNAMIC,2023-02-12T13:53:52.000Z,30.869575,122.98414167,,
518998439,,DYNAMIC,2023-02-12T14:01:37.000Z,1.58822833,104.27694667,,
247372100,0.0,TERRESTRIAL,2023-02-12T14:02:00.224Z,43.86143167,10.24065333,,
440048840,,DYNAMIC,2023-02-12T13:56:35.000Z,37.458745,126.59855667,,
244660911,0.0,TERRESTRIAL,2023-02-12T14:02:18.000Z,51.645015,4.386085,,
215000069,0.0,TERRESTRIAL,2023-02-12T14:02:08.137Z,43.70747,7.3365,,
374634000,9116644.0,DYNAMIC,2023-02-12T13:52:13.000Z,-26.1724,-48.41501667,,
49268033,,DYNAMIC,2023-02-12T13:53:59.000Z,31.0379,122.88676667,,
503231500,,TERRESTRIAL,2023-02-12T14:02:21.481Z,-19.72151167,149.18800667,,
244650029,0.0,TERRESTRIAL,2023-02-12T14:01:55.754Z,51.83013,4.67163833,,
431014035,9873723.0,DYNAMIC,2023-02-12T13:51:28.000Z,35.48069333,139.81744833,,
503624000,9324796.0,TERRESTRIAL,2023-02-12T14:02:37.000Z,-32.92125167,151.77277833,,
574133000,,TERRESTRIAL,2023-02-12T14:02:13.038Z,1.28703667,103.97144333,,
412474226,,TERRESTRIAL,2023-02-12T14:01:04.000Z,21.93370833,113.52282,,
244710324,0.0,TERRESTRIAL,2023-02-12T14:02:10.489Z,50.11080833,8.72434167,,
